,t,u0,u1,y
0,0.0,0.0,2.5833333333333333e-08,89.0
1,6.0,0.0,2.5806481481481483e-08,
2,12.0,0.0,2.577962962962963e-08,
3,18.0,0.0,2.5752777777777777e-08,
4,24.0,0.0,2.5725925925925924e-08,
5,30.000000000000004,0.0,2.5699074074074075e-08,
6,36.0,0.0,2.567222222222222e-08,
7,42.0,0.0,2.5645370370370372e-08,
8,48.0,0.0,2.561851851851852e-08,
9,54.0,0.0,2.5591666666666666e-08,
10,60.00000000000001,0.0,2.5564814814814813e-08,
11,66.0,0.0,2.5537962962962963e-08,
12,72.0,0.0,2.5511111111111113e-08,
13,78.0,0.0,2.548425925925926e-08,
14,84.0,0.0,2.5457407407407407e-08,
15,90.0,0.0,2.5430555555555554e-08,
16,96.0,0.0,2.5403703703703705e-08,
17,102.0,0.0,2.5376851851851852e-08,
18,108.0,0.0,2.5350000000000002e-08,
19,114.0,0.0,2.5323148148148146e-08,
20,120.00000000000001,0.0,2.5296296296296296e-08,
21,126.00000000000001,0.0,2.5269444444444443e-08,
22,136.0,0.0,2.522469135802469e-08,
23,138.0,0.0,2.521574074074074e-08,
24,144.0,0.0,2.518888888888889e-08,
25,150.0,0.0,2.5162037037037034e-08,
26,158.0,0.0,2.5126234567901235e-08,
27,162.0,0.0,2.5108333333333335e-08,
28,168.0,0.0,2.5081481481481482e-08,
29,174.0,0.0,2.5054629629629632e-08,
30,180.0,0.0,2.5027777777777776e-08,
31,186.0,0.0,2.5000925925925926e-08,
32,192.0,0.0,2.4974074074074073e-08,
33,198.0,0.0,2.4947222222222223e-08,
34,204.0,0.0,2.492037037037037e-08,
35,210.0,0.0,2.4893518518518517e-08,
36,216.0,0.0,2.4866666666666664e-08,
37,222.0,0.0,2.4839814814814815e-08,
38,228.0,0.0,2.4812962962962965e-08,
39,234.00000000000003,0.0,2.4786111111111112e-08,
40,240.00000000000003,0.0,2.4759259259259256e-08,
41,246.00000000000003,0.0,2.4732407407407406e-08,
42,252.00000000000003,0.0,2.4705555555555556e-08,
43,258.0,0.0,2.4678703703703703e-08,
44,264.0,0.0,2.4651851851851853e-08,
45,270.0,0.0,2.4625e-08,
